,Fiscal Year Period,Fiscal Year,Service,Department,Program,Fund,Category,Expense Category,Account Code,Invoice Description,Vendor,Vendor Number,Zip,Contract Number,PO Number,PO Line,Invoice Number,Invoice Line,Invoice Distribution Line,Amount,Invoice Date,Payment Method,Payment Date,Payment Number,Payment Status
214,2,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,FIN GJD 080113 GO PRINCIPAL,1.0,1,808333.33,8/1/13,WIRE,8/1/13,1003110,RECONCILED
215,3,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,91415,1.0,1,348750.0,9/14/15,WIRE,9/25/15,1005340,RECONCILED
216,10,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,42117,4.0,1,1180000.0,4/21/17,WIRE,4/28/17,1006913,RECONCILED
217,5,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112619A,6.0,1,403612.0,11/26/19,WIRE,12/2/19,1102591,RECONCILED
218,7,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121914A,1.0,1,59590.0,12/19/14,WIRE,1/2/15,1004545,RECONCILED
219,10,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,042915A,1.0,1,1120000.0,4/29/15,WIRE,5/1/15,1004882,RECONCILED
220,1,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,61716,1.0,1,1877744.0,6/17/16,WIRE,7/5/16,1006102,RECONCILED
221,1,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,4900624,1.0,1,782361.51,7/7/14,EFT,7/29/14,386676,RECONCILED
222,5,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112116A,1.0,1,806598.22,11/21/16,WIRE,12/1/16,1006526,RECONCILED
223,12,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,61014,1.0,1,335000.0,6/10/14,WIRE,6/25/14,1003993,RECONCILED
224,5,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112116A,1.0,1,33900.0,11/21/16,WIRE,12/1/16,1006526,RECONCILED
225,6,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,121819A,3.0,1,470000.0,12/18/19,WIRE,12/26/19,1102644,RECONCILED
226,7,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5460453,1.0,1,806013.98,1/5/16,EFT,1/27/16,430563,RECONCILED
227,2,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,72718,4.0,1,12118533.33,7/27/18,WIRE,8/3/18,1101629,RECONCILED
228,6,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80106,Term Purchase Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000135206S20140101,1.0,1,2080140.17,12/2/13,WIRE,1/2/14,1003519,RECONCILED
229,12,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,837351,1.0,1,46804.33,6/5/20,EFT,6/25/20,604035,RECONCILED
230,4,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102016,1.0,1,2355552.0,10/20/16,WIRE,11/1/16,1006452,RECONCILED
231,1,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072016A,1.0,1,808333.34,7/20/16,WIRE,8/1/16,1006186,RECONCILED
232,3,2021,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,935838,1.0,1,86830.9,9/16/20,EFT,10/7/20,614919,RECONCILED
233,2,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,082713A,1.0,1,3031173.0,8/27/13,WIRE,9/3/13,1003193,RECONCILED
234,6,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80106,Term Purchase Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000135206S20160101,1.0,1,2150632.66,12/1/15,WIRE,12/31/15,1005609,RECONCILED
235,1,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5642557,2.0,1,814055.98,7/5/16,EFT,7/15/16,445549,RECONCILED
236,11,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,52115,1.0,1,1634289.72,5/21/15,WIRE,6/1/15,1004977,RECONCILED
237,9,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,031114A,1.0,1,1395000.0,3/11/14,WIRE,4/1/14,1003756,RECONCILED
238,10,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,042915A,1.0,1,650000.0,4/29/15,WIRE,5/1/15,1004882,RECONCILED
239,1,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072016A,1.0,1,1133333.33,7/20/16,WIRE,8/1/16,1006186,RECONCILED
240,10,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,042717A,1.0,1,300000.0,4/27/17,WIRE,5/1/17,1006933,RECONCILED
241,2,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,72718,7.0,1,273166.67,7/27/18,WIRE,8/3/18,1101629,RECONCILED
242,1,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,62514,1.0,1,1596815.0,6/25/14,WIRE,7/1/14,1004027,RECONCILED
243,4,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102016,1.0,1,18130691.0,10/20/16,WIRE,11/1/16,1006452,RECONCILED
244,1,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072016A,1.0,1,7275000.0,7/20/16,WIRE,8/1/16,1006186,RECONCILED
245,3,2021,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,935841,1.0,1,646165.52,9/16/20,EFT,10/7/20,614917,RECONCILED
246,1,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,062618A,2.0,1,17561955.0,6/26/18,WIRE,7/2/18,1101526,RECONCILED
247,10,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,040816A,1.0,1,467763.99,4/8/16,WIRE,5/2/16,1005945,NEGOTIABLE
248,11,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,050914A,1.0,1,60000.0,5/9/14,WIRE,6/2/14,1003948,RECONCILED
249,4,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,101515A,1.0,1,17794129.91,10/15/15,WIRE,10/30/15,1005440,RECONCILED
250,7,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121914A,1.0,1,247450.0,12/19/14,WIRE,1/2/15,1004545,RECONCILED
251,1,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,WASHINGTON SUBURBAN SANITARY COMMISSION,4872,20707,,,,62818,1.0,1,803096.0,6/26/18,EFT,7/11/18,525247,RECONCILED
252,4,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102016,1.0,1,2001634.71,10/20/16,WIRE,11/1/16,1006452,RECONCILED
253,12,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5976079,1.0,1,295990.57,6/5/17,EFT,6/28/17,481426,RECONCILED
254,6,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121913A,1.0,1,377400.0,12/19/13,WIRE,1/1/14,1003515,RECONCILED
255,1,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072114A,1.0,1,7275000.0,7/21/14,WIRE,8/2/14,1004120,RECONCILED
256,2,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,082014A,1.0,1,244617.0,8/20/14,WIRE,9/2/14,1004198,RECONCILED
257,4,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102114A,1.0,1,35000.0,10/21/14,WIRE,11/3/14,1004394,RECONCILED
258,6,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,121516D,1.0,1,796250.0,12/15/16,WIRE,12/23/16,1006593,RECONCILED
259,2,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,72718,5.0,1,2891800.0,7/27/18,WIRE,8/3/18,1101629,RECONCILED
260,7,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80106,Term Purchase Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000135206S20150101,1.0,1,2115092.76,12/1/14,WIRE,1/2/15,1004543,RECONCILED
261,5,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112116A,1.0,1,4789450.0,11/21/16,WIRE,12/1/16,1006526,RECONCILED
262,1,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,062618A,1.0,1,9432709.75,6/26/18,WIRE,7/2/18,1101526,RECONCILED
263,5,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112116A,1.0,1,969200.0,11/21/16,WIRE,12/1/16,1006526,RECONCILED
264,1,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072015A,1.0,1,291666.67,7/20/15,WIRE,7/31/15,1005198,RECONCILED
265,4,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102016,1.0,1,20821033.29,10/20/16,WIRE,11/1/16,1006452,RECONCILED
266,1,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80106,Term Purchase Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000135206S20130701,1.0,1,2062881.08,7/1/13,WIRE,7/1/13,1003023,RECONCILED
267,2,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,72718,6.0,1,1088933.33,7/27/18,WIRE,8/3/18,1101629,RECONCILED
268,10,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,42117,2.0,1,1220000.0,4/21/17,WIRE,4/28/17,1006913,RECONCILED
269,9,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,32020,1.0,1,1332115.6,3/20/20,WIRE,3/26/20,1102815,RECONCILED
270,7,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000141526S20170129,1.0,1,94563.96,1/9/17,WIRE,1/30/17,1006685,RECONCILED
271,7,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121914A,1.0,1,23735.0,12/19/14,WIRE,1/2/15,1004545,RECONCILED
272,7,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121914A,1.0,1,89448.0,12/19/14,WIRE,1/2/15,1004545,RECONCILED
273,1,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,61716,1.0,1,1658875.0,6/17/16,WIRE,7/5/16,1006102,RECONCILED
274,2,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,082014A,1.0,1,132653.0,8/20/14,WIRE,9/2/14,1004198,RECONCILED
275,6,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5431481,1.0,1,909158.83,12/7/15,EFT,12/28/15,428534,RECONCILED
276,7,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000141526S20200129,1.0,1,101393.86,1/14/20,WIRE,1/29/20,1102711,RECONCILED
277,4,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,101515A,1.0,1,35000.0,10/15/15,WIRE,10/30/15,1005440,RECONCILED
278,2,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,FIN GJD 080113 GO PRINCIPAL,1.0,1,291666.67,8/1/13,WIRE,8/1/13,1003110,RECONCILED
279,10,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,40616,1.0,1,2165000.0,4/6/16,WIRE,4/29/16,1005940,NEGOTIABLE
280,1,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072016A,1.0,1,13058333.33,7/20/16,WIRE,8/1/16,1006186,RECONCILED
281,2,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,082713A,1.0,1,1488633.45,8/27/13,WIRE,9/3/13,1003193,RECONCILED
282,2,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,72718,3.0,1,756533.33,7/27/18,WIRE,8/3/18,1101629,RECONCILED
283,10,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,042717A,1.0,1,156404.6,4/27/17,WIRE,5/1/17,1006933,RECONCILED
284,11,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,52115,1.0,1,295000.0,5/21/15,WIRE,6/1/15,1004977,RECONCILED
285,4,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102113A,1.0,1,1633809.0,10/21/13,WIRE,11/1/13,1003350,RECONCILED
286,2,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,FIN GJD 080113 GO PRINCIPAL,1.0,1,13058333.33,8/1/13,WIRE,8/1/13,1003110,RECONCILED
287,1,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,062618A,8.0,1,2328370.25,6/26/18,WIRE,7/2/18,1101526,RECONCILED
288,9,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,746765,1.0,1,110125.17,3/12/20,EFT,4/8/20,594293,RECONCILED
289,6,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,654564,1.0,1,656480.78,12/6/19,EFT,12/27/19,583207,RECONCILED
290,6,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,654563,1.0,1,46395.12,12/6/19,EFT,12/27/19,583208,RECONCILED
291,2,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,082713A,1.0,1,132054.0,8/27/13,WIRE,9/3/13,1003193,RECONCILED
292,11,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,52115,1.0,1,60000.0,5/21/15,WIRE,6/1/15,1004977,RECONCILED
293,4,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102113A,1.0,1,2831536.78,10/21/13,WIRE,11/1/13,1003350,RECONCILED
294,1,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072114A,1.0,1,3025000.0,7/21/14,WIRE,8/2/14,1004120,RECONCILED
295,9,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,753228,1.0,1,1061528.51,3/17/20,EFT,4/8/20,594293,RECONCILED
296,4,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102114A,1.0,1,3163162.0,10/21/14,WIRE,11/3/14,1004394,RECONCILED
297,9,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,753229,1.0,1,637781.88,3/17/20,EFT,4/8/20,594293,RECONCILED
298,9,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80104,Revenue Bond Principal Payment,US BANK,10742,10005,,,,030615A,1.0,1,335000.0,3/6/15,WIRE,3/25/15,1004768,RECONCILED
299,12,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5976075,1.0,1,162197.18,6/5/17,EFT,6/28/17,481427,RECONCILED
300,12,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5976071,1.0,1,934837.4,6/5/17,EFT,6/28/17,481429,RECONCILED
301,10,2015,Housing and Community Development,Permitting Services,Administration,Permitting,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5181488,1.0,1,9575.64,4/6/15,EFT,4/28/15,409174,RECONCILED
302,4,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102016,1.0,1,1964940.0,10/20/16,WIRE,11/1/16,1006452,RECONCILED
303,8,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R52813,1.0,1,62979.46,2/20/19,EFT,2/27/19,549430,RECONCILED
304,6,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,654627,1.0,1,308196.89,12/6/19,EFT,12/27/19,583203,RECONCILED
305,10,2014,Housing and Community Development,Permitting Services,Administration,Permitting,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,4804540,1.0,1,9575.64,4/7/14,EFT,4/7/14,376697,RECONCILED
306,6,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5431485,1.0,1,158036.44,12/7/15,EFT,12/28/15,428532,RECONCILED
307,1,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,FIN GJD 070113 GO PRINCIPAL,1.0,1,1220230.0,7/1/13,WIRE,7/1/13,1003021,RECONCILED
308,4,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,101515A,1.0,1,1438658.09,10/15/15,WIRE,10/30/15,1005440,RECONCILED
309,10,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,041814A,1.0,1,12480000.0,4/18/14,WIRE,5/1/14,1003842,RECONCILED
310,1,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,072015A,1.0,1,808333.34,7/20/15,WIRE,7/31/15,1005198,RECONCILED
